question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
Are ducks an accepted presence in some populated areas?,yes,"['Ducks have become an accepted presence in populated areas. Migration patterns have changed such that many species remain in an area during the winter months. In spring and early summer ducks sometimes influence human activity through their nesting; sometimes a duck pair nests well away from water, needing a long trek to water for the hatchlings: this sometimes causes an urgent wildlife rescue operation (e.g. by the RSPCA) if the duck nested somewhere unsuitable like in a small enclosed courtyard.']",Yes,1.0,0.8904337151179645,0.9999999999,1.0
What is the most densely populated independent country in the world?,Quebec City-Windsor Corridor,"['The population density,  , is among the lowest in the world.    The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.   ']",Monaco,0.0,0.8814263535047999,0.0,0.0
Is Uruguay's capital Montevideo?,yes,"[""Montevideo, Uruguay's capital.""]",Yes.,1.0,0.9838649005461325,0.9999999999,1.0
Are elephants good swimmers?,yes,['An Asian elephant swimming.'],yes,0.0,0.9377316308555669,0.9999999999,0.0
Are turtle eggs leathery and soft?,yes,"['Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to in']",Yes,1.0,0.9055529576340117,0.9999999999,1.0
Was Thedore Roosevelt  a member of the Republican Party?,yes,"['Roosevelt was a Republican activist during his years in the Assembly, writing more bills than any other New York state legislator. Already a major player in state politics, he attended the Republican National Convention in 1884 and fought alongside the Mugwump reformers; they lost to the Stalwart faction that nominated James G. Blaine. Refusing to join other Mugwumps in supporting Democrat Grover Cleveland, the Democratic nominee, he stayed loyal.']",Yes,1.0,0.8947572829200693,0.9999999999,
What year did Coolidge open his own law office?,1891,"['Coolidge with his Vice President, Charles G. Dawes.']",1898,0.0,0.8922874991259206,0.0,0.0
Did continental European immigrants not S08_settle the prairies ?,"French fur traders and Catholic missionaries explored the Great Lakes, Hudson Bay and the Mississippi watershed to Louisiana","['French explorer Samuel de Champlain arrived in 1603 and established the first permanent European settlements at Port Royal in 1605 and Quebec City in 1608. These would become respectively the capitals of Acadia and Canada. Among French colonists of New France, Canadiens extensively settled the St. Lawrence River valley, Acadians settled the present-day Maritimes, while French fur traders and Catholic missionaries explored the Great Lakes, Hudson Bay and the Mississippi watershed to Louisiana. The French and Iroquois Wars broke out over control of the fur trade.']",no,,0.7833663596748072,0.0,0.0
"Has it been created with a long term perspective to support the development of Qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?",Yes,['Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.'],Yes,,0.8854483418643048,0.9999999999,0.0
"Is it a constitutional democracy , where the president fulfills the roles of both head of state and head of government?",yes,"[""Uruguay's politics takes place in a framework of a presidential representative democratic republic, whereby the President of Uruguay is both head of state and head of government, and of a pluriform multi-party system. Executive power is exercised by the government. Legislative power is vested in both the government and the two chambers of the General Assembly of Uruguay. The Judiciary is independent of the executive and the legislature.""]",Yes,0.5,0.8478423353746841,0.9999999999,1.0
Why are ducklings particularly vulnerable?,"their inability to fly makes them easy prey not only for avian hunters but also large fish like pike, crocodilians, and other aquatic hunters, including fish-eating birds such as herons","['A worldwide group like the ducks has many predators. Ducklings are particularly vulnerable, since their inability to fly makes them easy prey not only for avian hunters but also large fish like pike, crocodilians,  and other aquatic hunters, including fish-eating birds such as herons. Nests may also be raided by land-based predators, and brooding females may sometimes be caught unaware on the nest by mammals (e.g. foxes) and large birds, including hawks and eagles.']",Their inability to fly.,,0.9809524732311979,0.9999999999,1.0
Is a polar bear white in color?,no,['Polar bear'],yes,0.0,0.0,0.0,0.0
What is the largest country in the world?,Egypt,"[""At  ,  World Factbook area rank order  Egypt is the world's 38th-largest country (after Mauritania). It is comparable in size to Tanzania, twice the size of France, four times the size of the United Kingdom, and is more than half the size of the US state of Alaska.""]","Canada is the second largest country in the world, after Russia, and largest on the continent.",0.0,0.8799975544025619,0.0,0.0
Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes,"['Most of the Finnish people (92 percent   ) speak Finnish as their mother tongue. Finnish is a member of the  Baltic-Finnic subgroup of the Uralic languages and is typologically between inflected and agglutinative languages. It modifies and inflects the forms of nouns, adjectives, pronouns, numerals and verbs, depending on their roles in the sentence. In practice, this means that instead of prepositions and prefixes there is a great variety of different suffixes and that compounds form a considerable percentage of the vocabulary of Finnish. It has been estimated that approximately 65â\x80\x9370 perce']",yes,1.0,0.9012531246319305,0.9999999999,1.0
Are kangaroos farmed to any extent?,not farmed,"['In general, larger kangaroos have adapted much better to changes wrought to the Australian landscape by humans and though many of their smaller cousins are endangered, they are plentiful. They are not farmed to any extent, but wild kangaroos are shot for meat, over which there is controversy.  Steve Dow: ""An industry that\'s under the gun"". Sydney Morning Herald online, September 26, 2007.']",No.,1.0,0.0,0.9999999999,1.0
Where was Woodrow Wilson born?,John Wesley's Place in History at The DCL,"[""* Woodrow Wilson Ancestral Home  *  John Wesley's Place in History at The DCL.""]","Woodrow Wilson was born in Staunton, Virginia",0.5,0.7945764594809454,0.0,0.0
What is now part of Adams National Historical Park?,Adams National Historical Park,"['*  Adams Family Papers: An electronic archive Captured December 16, 2004.']",John Adams' birthplace,0.0,0.9071613144289149,0.0,0.0
Is a Kangaroo a Marsupial?,yes,"['*Dawson, Terence J. 1995. Kangaroos: Biology of the Largest Marsupials. Cornell University Press, Ithaca, New York. Second printing: 1998. ISBN 0-8014-8262-3.']",Yes,1.0,0.9123800705965502,0.0,0.0
Has another US President been an Eagle Scout?,yes,['Eagle Scout Gerald Ford (circled in red) in 1929.'],no,0.0,0.9090445613973887,0.9999999999,0.0
Are Pleurodira known as side-necked turtles?,yes,"['Turtles are divided into three suborders, one of which, the Paracryptodira, is extinct. The two extant suborders are the Cryptodira and the Pleurodira. The Cryptodira is the larger of the two groups and includes all the marine turtles, the terrestrial tortoises, and many of the freshwater turtles. The Pleurodira are sometimes known as the side-necked turtles, a reference to the way they withdraw their heads into their shells. This smaller group consists primarily of various freshwater turtles.']",Yes,1.0,0.8667311579509515,0.9999999999,1.0
How long is polar bear's guard hair?,5-15 cm,"['The guard hair is 5-15 cm over most of the body of polar bears.    However, in the forelegs, males have significantly longer, increasing in length until 14 years of age. The ornamental foreleg hair is suggested as a form of an attractive trait for females, likened to the lion mane.']",5-15 cm,1.0,0.9758807042654961,0.9999999999,1.0
Are nationals referred to by the plural : Liechtensteiners ?,yes,"[""Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.""]",Yes,1.0,0.8481341772610023,0.9999999999,1.0
Did Wilson have any siblings?,Ellen Louise Axson,"['In 1879, Wilson attended law school at University of Virginia for one year but he never graduated. His frail health dictated withdrawal, and he went home to Wilmington, North Carolina where he continued his studies. Wilson was also a member of the Phi Kappa Psi fraternity. In 1885, he married Ellen Louise Axson, the daughter of a minister from Rome, Georgia.']",yes,0.0,0.853388742374551,0.0,0.0
Are beetles endopterygotes with complete metamorphosis?,yes,['Beetles are endopterygotes with complete metamorphosis.'],Yes.,1.0,0.9759974576997008,0.9999999999,1.0
Is it true that singapore has several long - standing disputes with malaysia?,yes,['Singapore has several long-standing disputes with Malaysia over a number of issues:'],Yes,1.0,0.9575899556935513,0.9999999999,1.0
"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",Yes,"['Kangaroos have large, powerful hind legs, large feet adapted for leaping, a long muscular tail for balance, and a small head. Like all marsupials, female kangaroos have a pouch called a marsupium in which joeys complete postnatal development.']",yes,1.0,0.8778640485240267,0.9999999999,1.0
Was Indonesia named after it became an independent country?,no,"[""For most of the colonial period, Dutch control over these territories was tenuous; only in the early 20th century did Dutch dominance extend to what was to become Indonesia's current boundaries. Dutch troops were constantly engaged in quelling rebellions both on and off Java. The influence of local leaders such as Prince Diponegoro in central Java, Imam Bonjol in central Sumatra and Pattimura in Maluku, and a bloody thirty-year war in Aceh weakened the Dutch and tied up the colonial military forces.(Schwartz 1999, pages 3â\x80\x934) Despite major internal political, social and sectarian divisions du""]",no,0.0,0.0,0.0,0.0
What is Monroe's daughter's name?,Elizabeth,"[""Monroe had racked up many debts during his years of public life. As a result, he was forced to sell off his Highland Plantation (now called Ash Lawn-Highland; it is owned by his alma mater, the College of William and Mary, which has opened it to the public). Throughout his life, he was not financially solvent, and his wife's poor health made matters worse.  For these reasons, he and his wife lived in Oak Hill until Elizabeth's death on September 23, 1830.""]",Maria Hester Monroe Gouverneur,0.0,0.9216453689012692,0.0,0.0
Did John Adams go to Harvard? ,no,"['Birthplace of John Adams, Quincy, Massachusetts.']",yes,0.0,0.0,0.0,0.0
Who or what fell in love with abigail powers?,Susanna,"['In 1764, Adams married Abigail Smith (1744â\x80\x931818), the daughter of a Congregational minister,Rev. William Smith, at Weymouth, Massachusetts. Their children were Abigail (1765-1813); future president John Quincy (1767-1848); Susanna (1768â\x80\x931770); Charles (1770-1800); Thomas Boylston (1772-1832); and Elizabeth (1775) who was stillborn.']",millard fillmore,0.0,0.7613066162503812,0.0,0.0
Do beetles antennae function primarily as organs of smell?,yes,"[""Beetles' antennae are primarily organs of smell, but may also be used to feel out a beetle's environment physically. They may also be used in some families during mating, or among a few beetles for defence. Antennae vary greatly in form within the Coleoptera, but are often similar within any given family. In some cases, males and females of the same species will have different antennal forms. Antennae may be clavate (flabellate and lamellate are sub-forms of clavate, or clubbed antennae), filiform, geniculate, moniliform, pectinate, or serrate. For images of these antennal forms see antenna (b""]",Yes,1.0,0.9302944887230082,0.9999999999,1.0
"Why do penguins ""tobaggan""?","they have bright yellow-orange neck, breast, and bill patches, incubate by placing their eggs on their feet, and when they hatch, they are almost naked","['The genus Aptenodytes appears to be the basalmost divergence among living penguins; they have bright yellow-orange neck, breast, and bill patches, incubate by placing their eggs on their feet, and when they hatch, they are almost naked. This genus has a distribution centered  on the Antarctic coasts and barely extends to some subantarctic islands today.']",It conserves energy while moving quickly,,0.8137945681688933,0.0,0.0
How do elephants communicate over long distances?,"producing and receiving low-frequency sound (infrasound), a sub-sonic rumbling","[""Elephants communicate over long distances by producing and receiving low-frequency sound (infrasound), a sub-sonic rumbling, which can travel through the ground farther than sound travels through the air. This can be felt by the sensitive skin of an elephant's feet and trunk, which pick up the resonant vibrations much as the flat skin on the head of a drum. To listen attentively, every member of the herd will lift one foreleg from the ground, and face the source of the sound, or often lay its trunk on the ground. The lifting presumably increases the ground contact and sensitivity of the remain""]",by producing and receiving low frequency sound,,0.9999999999999997,0.9999999999,1.0
Was Liechtenstein completed in November 2000?,no,"[""Liechtenstein's current constitution was adopted in October 1921. It established in Liechtenstein a constitutional monarchy ruled by the reigning prince of the Princely House of Liechtenstein. It also established a parliamentary system, although the reigning prince retained substantial political authority.""]",No,0.0,0.8759866988454844,0.0,0.0
What sort of turtles are ectothermic?,turtles,"['* Pritchard, Pether C H (1979). Encyclopedia of Turtles. T.F.H. Publications.']",all of them,0.0,0.8486681903597927,0.0,0.0
Are otters herbivores?,yes,"['Otters are amphibious (or in one case aquatic) carnivorous mammals.  The otter subfamily Lutrinae forms part of the family Mustelidae, which also includes weasels, polecats, badgers, as well as others. With 13 species in 7 genera, otters have an almost worldwide distribution.']",No,1.0,0.9312941024234842,0.9999999999,0.0
Which election did Grover Cleveland win?,a).,['Grover Cleveland'],1884 and 1892 presidential elections,0.0,0.0,0.0,0.0
Who did James Monroe marry?,Elizabeth Kortright,"['The Presidentâ\x80\x99s parents, father Spence Monroe (ca. 1727 1774), a woodworker and tobacco farmer, and mother Elizabeth Jones Monroe had significant land holdings but little money. Like his parents, he was a slaveholder. Born in Westmoreland County, Virginia, Monroe went to school at Campbelltown Academy and then the College of William and Mary, both in Virginia.  After graduating from William and Mary in 1776, Monroe fought in the Continental Army, serving with distinction at the Battle of Trenton, where he was shot in his left shoulder. He is depicted holding the flag in the famous painting o']",Elizabeth Kortright,0.0,0.9182397895584581,0.0,0.0
"Was watt a gentleman, greatly respected by other prominent men of the Industrial Revolution?",yes,"['Watt was a gentleman, greatly respected by other prominent men of the Industrial Revolution. He was an important member of the Lunar Society, and was a much sought after conversationalist and companion, always interested in expanding his horizons.  He was a rather poor businessman, and especially hated bargaining and negotiating terms with those who sought to utilize the steam engine.  Until he retired, he was always much concerned about his financial affairs, and was something of a worrier. His personal relationships with his friends and partners were always congenial and long-lasting.']",Yes.,1.0,0.913057066517485,0.9999999999,1.0
What was Roosevelt's justification for supporting desegregation of schools in New York?,openly supporting a bill in the New York State Assembly,"['*Openly supporting a bill in the New York State Assembly which allowed desegregation of schools in the state, personally noting that his children had been educated with other races and there was nothing wrong with it.']",Noting that his children had been educated with other races and there was nothing wrong with it,1.0,0.8081591219110643,0.9999999999,1.0
When did John Adams serve as Vice President?,1789 1797,"['John Adams, Jr. (October 30,1735   July 4, 1826)  was the second President of the United States (1797 1801). He also served as America\'s first Vice President (1789 1797). He was defeated for re-election in the ""Revolution of 1800"" by Thomas Jefferson. Adams was also the first President to reside in the newly built White House in Washington, D.C., which was completed in 1800.']",1789-1797,1.0,0.9701864469723747,0.9999999999,1.0
Are male otters dog-otters?,yes,"[""An otter's den is called a holt.  Male otters are dog-otters, females are bitches and babies are cubs or pups.  The collective noun romp is sometimes used for a group of otters, being descriptive of their often playful nature.""]",yes,1.0,0.8663660850362666,0.9999999999,1.0
Is Uruguay the smallest soverign nation in South America?,no,"['It is bordered by Brazil to the north, by Argentina across the bank of both the Uruguay River to the west and the estuary of RÃ\xado de la Plata to the southwest, and the South Atlantic Ocean to the southeast. It is the second smallest independent country in South America, larger only than Suriname and the French overseas department of French Guiana.']",No,1.0,0.0,0.9999999999,1.0
"Was Becquerel born in Paris into a family which, including he and his son Jean, produced four generations of scientists?",yes,"['Becquerel was born in Paris into a family which, including he and his son Jean, produced four generations of scientists. He studied science at the Ã\x89cole Polytechnique and engineering at the Ã\x89cole des Ponts et ChaussÃ©es. In 1890 he married Louise DÃ©sirÃ©e Lorieux.']",yes,1.0,0.9533100684351564,0.9999999999,0.5
Did Grover Cleveland support women's suffrage?,yes,"['Cleveland was a stout opponent of the women\'s suffrage (voting) movement.  In a 1905 article in The Ladies Home Journal, Cleveland wrote, ""Sensible and responsible women do not want to vote. The relative positions to be assumed by men and women in the working out of our civilization were assigned long ago by a higher intelligence.""  *']",No,0.0,0.9518832649890069,0.9999999999,1.0
Who spend half of their life on land and half in the oceans?,most penguins,"['Most penguins feed on krill, fish, squid, and other forms of sealife caught while swimming underwater. They spend half of their life on land and half in the oceans.']",Penguins,1.0,0.777381921849578,0.9999999999,1.0
Are beetles endopterygotes?,yes,['Beetles are endopterygotes with complete metamorphosis.'],yes,1.0,0.9759974576997007,0.9999999999,1.0
How many species of otter are there?,2,['Eurasian otter'],13,0.0,0.9973932296606289,0.0,0.0
How many species of penguins are there?,a few,"['The number of penguin species is debated. Depending on which authority is followed, penguin biodiversity varies between 17 and 20 living species, all in the subfamily Spheniscinae. Some sources consider the White-flippered Penguin a separate Eudyptula species, while others treat it as a subspecies of the Little Penguin (e.g. Williams, 1995; Davis & Renner, 2003); the actual situation seems to be more complicated (Banks et al. 2002). Similarly,  it is still unclear whether the Royal Penguin is merely a color morph of the Macaroni penguin. Also eligible to be a separate species is the Northern p']",between 17 and 20 living species,1.0,0.0,0.9999999999,1.0
Is the president elected by popular vote?,yes,"[""He ran in the election of 1856 as the party's candidate, attempting to win a non-consecutive second term as President (a feat accomplished only once in American politics, by Grover Cleveland).  His running mate was Andrew Jackson Donelson, nephew of former president Andrew Jackson. Fillmore and Donelson finished third, carrying only the state of Maryland and its eight electoral votes; but he won 21.6% of the popular vote, one of the best showings ever by a Presidential third-party candidate.""]",Yes.,0.0,0.8230907230724659,0.0,0.0
What is the study of beetles called?,coleopterology,"['The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles. Among these is The Coleopterists Society, an international organisation based in the United States. Such organisations may have both professionals and amateurs interested in beetles as members.']",coleopterology,1.0,0.9999999999999996,0.9999999999,1.0
Are there cathedrals scattered all across Finland?,no,['The Helsinki Cathedral with the statue of Emperor Alexander II of Russia.'],Yes,0.0,0.0,0.0,0.0
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,"[""John Calvin Coolidge Jr. was born in Plymouth, Windsor County, Vermont, on July 4 1872, the only U.S. President to be born on the fourth of July. He was the elder of two children of John Calvin Sr. and Victoria Coolidge. The Coolidge family had deep roots in New England. His earliest American ancestor, John Coolidge, emigrated from Cambridge, England, around 1630 and settled in Watertown, Massachusetts. Fuess, 12  Coolidge's great-great-grandfather, also named John Coolidge, was an American army officer in the American Revolution, and was one of the first selectmen of the town of Plymouth Notc""]",yes,1.0,0.9289245135469929,0.9999999999,1.0
Who achieved international fame as the leading Union general in the American Civil War?,Hiram Ulysses Grant,"[""Ulysses S. Grant, See military career for a discussion of Grant's middle initial.  born Hiram Ulysses Grant (April 27, 1822   July 23, 1885), was an American general and the eighteenth President of the United States (1869 1877). He achieved international fame as the leading Union general in the American Civil War.""]",Grant,1.0,0.8473776210274289,0.9999999999,1.0
Is polar bear a mammal?,no,['Polar bear'],Yes,0.0,0.0,0.0,0.0
Can the title of this famous 1811 paper be roughly translated into english?,Yes,"['In 1811, he published an article with the title Essai d\'une manière de déterminer les masses relatives des molécules élémentaires des corps, et les proportions selon lesquelles elles entrent dans ces combinaisons, which contains the famous Avogadro\'s hypothesis. The title of this famous 1811 paper can be roughly translated into English as ""Essay on Determining the Relative Masses of the Elementary Molecules of Bodies"".  (Note: At that time in 1811, northern Italy was actually under French rule during the era of Napoléon Bonaparte. Avogadro submitted his poem to a French journal. This paper was']",yes,1.0,0.8546921915805817,0.9999999999,1.0
Is Romania a secular state?,no,"['Romania is a secular state, thus having no national religion. The dominant religious body is the Romanian Orthodox Church; its members make up 86.7% of the population according to the 2002 census. Other important religions include Roman Catholicism (4.7%), Protestantism (3.7%), Pentecostal denominations (1.5%) and the Romanian Greek-Catholic Church (0.9%).  Romania also has a historically significant Muslim minority concentrated in Dobrogea, mostly of Turkish ethnicity and numbering 67,500 people.     Romanian Census Website with population by religion  Based on the 2002 census data, there are']",Yes.,0.0,0.9369186658837739,0.9999999999,1.0
How do otters keep themselves warm without blubber?,blowing into the fur from their mouths,"['Unlike most marine mammals such as (seals or whales), sea otters do not have a layer of insulating blubber. As with other species of otter, they rely on a layer of air trapped in their fur, which they keep topped up by blowing into the fur from their mouths.  They spend most of their time in the water, whereas other otters spend much of their time on land.']",A layer of air trapped in their fur.  ,1.0,0.9418515243517739,0.9999999999,1.0
Who did James Monroe live with in New York City?,Elizabeth Kortright,"['The Presidentâ\x80\x99s parents, father Spence Monroe (ca. 1727 1774), a woodworker and tobacco farmer, and mother Elizabeth Jones Monroe had significant land holdings but little money. Like his parents, he was a slaveholder. Born in Westmoreland County, Virginia, Monroe went to school at Campbelltown Academy and then the College of William and Mary, both in Virginia.  After graduating from William and Mary in 1776, Monroe fought in the Continental Army, serving with distinction at the Battle of Trenton, where he was shot in his left shoulder. He is depicted holding the flag in the famous painting o']",His daughter Maria Hester Monroe Gouverneur,0.0,0.8846813836460753,0.0,0.0
"Is romania -LRB- , -RRB- a country in southeastern europe?",yes,"['Romania ( ,  ) is a country in Southeastern Europe. It shares a border with Hungary and Serbia to the west, Ukraine and the Republic of Moldova to the northeast, and Bulgaria to the south. Romania has a stretch of sea coast along the Black Sea. It is located roughly in the lower basin of the Danube and almost all of the Danube Delta is located within its territory.']",Yes,1.0,0.9334617207372463,0.9999999999,1.0
What are some economic uses for duck?,"meat, eggs, feathers, (particularly their down)","['Ducks have many economic uses, being farmed for their meat, eggs, feathers, (particularly their down). They are also kept and bred by aviculturists and often displayed in zoos. All domestic ducks are descended from the wild Mallard Anas platyrhynchos, except the Muscovy Duck']","Meat,eggs,feathers",,0.9902796894910536,0.9999999999,1.0
Who did Cleveland run against in 1884?,James G. Blaine of Maine,"['Cleveland won the Presidency in the 1884 election with the unusual combination of support from both Democrats and reform-minded Republicans called ""Mugwumps"" who denounced his opponent, former Senator James G. Blaine of Maine, as corrupt.']",former Senator James G. Blaine of Maine,1.0,0.9543812432276658,0.9999999999,1.0
What happened from 1730 to 1744?,He died in Scotland,"['*Hills, Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland, 1736-1774 (2002); Vol 2, The years of toil, 1775-1785; Vol 3 Triumph through adversity 1785-1819.  Landmark Publishing Ltd, ISBN 1-84306-045-0.']",He was professor of astronomy at Uppsala University,0.0,0.7712088282328269,0.0,0.0
Are many beetles territorial?,yes,"['Many agricultural, forestry, and household insect pests are beetles. These include the following:']",Yes.,0.0,0.8870240886471712,0.0,0.0
When did Adams graduate from college?,"December 16, 2004","['*  Adams Family Papers: An electronic archive Captured December 16, 2004.']",1755.,0.0,0.846599210412411,0.0,0.0
